PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MEDIDA PROMEDIO MATEMATICA_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
HUAMANGA,33.975,29.65625,33.99375,34.4875,432.625,29.78125,28.3125,24.75,38.79375,462.25,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUANCA SANCOS,39.275,26.625,32.525,31.775,428.0,31.8,29.125,22.175,39.575,474.25,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUANTA,41.19166666666667,23.33333333333333,32.733333333333334,32.15833333333334,416.3333333333333,32.19166666666667,24.96666666666667,24.883333333333336,36.06666666666667,433.4166666666667,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LA MAR,35.81111111111111,30.444444444444443,26.011111111111116,40.4,446.0,37.2,26.17,21.33,35.980000000000004,455.7,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LUCANAS,29.216666666666665,35.22222222222222,21.80555555555556,45.52777777777778,466.6666666666667,22.91,29.335,14.365,42.995,486.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PARINACOCHAS,41.84285714285714,29.5,28.485714285714288,42.24285714285714,456.7142857142857,28.6875,35.45,21.0875,44.6,477.125,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PÁUCAR DEL SARA SARA,37.04285714285714,29.6,38.57142857142857,39.385714285714286,433.0,22.8,29.585714285714285,17.442857142857143,52.58571428571429,479.1428571428572,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SUCRE,39.24285714285714,21.52857142857143,43.285714285714285,23.785714285714285,417.7142857142857,39.825,24.125,26.3125,51.425,460.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VILCASHUAMÁN,35.916666666666664,32.61666666666667,29.58333333333333,42.5,417.1666666666667,36.6375,28.0875,25.225,40.3,442.5,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VÍCTOR FAJARDO,33.475,26.4,21.975,34.5375,438.75,34.70909090909091,31.42727272727273,18.063636363636363,41.3,455.27272727272725,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAJABAMBA,35.1,26.475,27.65,36.225,427.5,33.1,22.3,28.825,32.85,436.0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAJAMARCA,36.05,27.866666666666664,26.73333333333333,37.25,436.4166666666667,35.125,24.041666666666668,29.416666666666668,37.10833333333333,437.9166666666667,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CELENDÍN,36.3,24.941666666666663,26.85833333333333,35.25,432.75,33.809090909090905,25.73636363636364,25.63636363636364,38.33636363636364,440.1818181818182,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHOTA,36.32631578947368,30.831578947368417,22.43684210526316,38.37894736842105,461.0,33.43529411764706,30.294117647058822,26.735294117647054,40.35294117647059,456.9411764705882,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONTUMAZÁ,26.0125,39.1375,22.375,40.9,495.125,34.58571428571428,30.1,22.228571428571428,52.62857142857143,459.8571428571428,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CUTERVO,34.70666666666667,28.99333333333333,26.966666666666665,34.63333333333333,446.4666666666666,30.56428571428572,28.02142857142857,21.87142857142857,39.98571428571428,471.2142857142857,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HUALGAYOC,29.633333333333336,28.96666666666667,20.73333333333333,38.833333333333336,486.3333333333333,27.633333333333336,36.93333333333333,20.366666666666664,39.63333333333333,486.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JAÉN,33.19166666666667,29.55,24.84166666666667,36.99166666666667,452.75,32.550000000000004,28.90833333333333,25.816666666666663,41.99166666666667,441.1666666666667,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAN IGNACIO,28.414285714285715,31.914285714285715,20.77142857142857,39.5,473.4285714285714,28.91428571428571,31.314285714285717,22.714285714285715,43.32857142857143,465.57142857142856,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAN MARCOS,34.48571428571429,27.485714285714288,23.814285714285717,34.371428571428574,439.1428571428572,34.114285714285714,28.0,26.87142857142857,42.3,445.2857142857143,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAN MIGUEL,17.415384615384617,41.63076923076923,8.161538461538461,42.35384615384616,526.0,32.53846153846154,29.56923076923077,21.684615384615384,40.63076923076923,485.9230769230769,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAN PABLO,35.075,31.075,27.15,40.15,441.5,35.625,19.675,31.35,38.775,432.5,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SANTA CRUZ,25.5,35.27,16.25,40.21,490.0,27.318181818181817,37.95454545454545,16.818181818181817,43.45454545454545,485.54545454545456,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ACOMAYO,40.02857142857143,27.77142857142857,30.428571428571427,40.3,426.4285714285714,35.81428571428572,33.67142857142857,18.75714285714286,53.18571428571429,468.1428571428572,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTA,43.71111111111112,24.62222222222222,34.355555555555554,33.5,423.3333333333333,29.011111111111116,27.83333333333333,20.322222222222223,42.1,468.77777777777777,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CALCA,38.025,30.15,29.700000000000003,38.3,440.5,28.225,30.025,22.725,43.9,469.375,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CANAS,46.2875,21.9125,31.325,38.2,420.25,41.025,20.1,26.7625,36.2,439.625,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CANCHIS,32.2625,32.3875,31.125,34.45,443.875,25.9875,31.725,17.4375,43.75,485.625,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHUMBIVILCAS,40.7625,26.675,28.225,38.75,430.375,31.3125,27.55,26.4,35.7125,446.125,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CUSCO,25.042857142857144,31.514285714285712,21.02857142857143,41.25714285714286,479.2857142857143,23.31428571428572,31.142857142857142,17.12857142857143,43.21428571428572,497.57142857142856,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ESPINAR,36.07142857142857,29.32857142857143,32.5,33.74285714285714,440.0,32.9375,37.825,19.6375,48.9375,474.875,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LA CONVENCIÓN,36.23333333333333,32.916666666666664,28.65833333333333,37.91666666666666,442.0833333333333,31.175,28.15,23.641666666666666,38.85,462.75,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PARURO,41.86666666666667,24.988888888888887,32.95555555555556,29.33333333333333,396.3333333333333,23.2625,32.375,21.575,37.65,461.75,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PAUCARTAMBO,42.24,25.42,36.22,33.22,428.8,36.28,30.34,26.34,37.4,446.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
