PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,LECT_PREVIO AL INICIO_2016,LECT_SATISFACTORIO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MAT_PREVIO AL INICIO_2016,MAT_SATISFACTORIO_2016,MEDIDA PROMEDIO COMPRENSION LECTORA_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,LECT_PREVIO AL INICIO_2018,LECT_SATISFACTORIO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MAT_PREVIO AL INICIO_2018,MAT_SATISFACTORIO_2018,MEDIDA PROMEDIO COMPRENSION LECTORA_2018,MEDIDA PROMEDIO MATEMATICA_2018,VAB_Administración_Pública_y_Defensa_2016,VAB_Administración_Pública_y_Defensa_2018,VAB_Electricidad_Gas_y_Agua_2016,VAB_Electricidad_Gas_y_Agua_2018,VAB_Telecom_y_Otros_Serv_de_Información_2016,VAB_Telecom_y_Otros_Serv_de_Información_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
CHINCHEROS,38.6625,19.4875,29.225,12.675,29.5375,26.2625,30.5625,13.675,412.625,411.0,39.01111111111111,24.72222222222222,16.61111111111111,19.677777777777777,26.22222222222222,43.0,13.933333333333334,16.855555555555554,439.3333333333333,443.1111111111111,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COTABAMBAS,47.11666666666667,26.5,19.716666666666665,6.716666666666666,29.416666666666668,39.21666666666667,22.85,8.5,414.1666666666667,419.3333333333333,33.11666666666667,21.7,24.96666666666667,20.25,26.73333333333333,37.18333333333333,17.666666666666668,18.433333333333334,432.5,441.0,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GRAU,45.083333333333336,24.241666666666664,17.14166666666667,13.558333333333332,35.03333333333333,41.36666666666667,13.4,10.225,429.0,428.4166666666667,27.55,32.766666666666666,24.825,14.858333333333334,30.20833333333333,36.075,14.891666666666666,18.85,431.1666666666667,443.25,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AREQUIPA,18.05185185185185,35.7962962962963,5.440740740740741,40.72962962962964,16.855555555555558,47.34074074074074,5.614814814814815,30.211111111111112,504.5925925925926,488.22222222222223,17.28076923076923,31.392307692307693,4.057692307692308,47.26923076923077,14.738461538461538,42.065384615384616,3.753846153846154,39.43846153846154,511.2692307692308,506.5,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAMANÁ,20.9625,38.25,3.6375,37.15,17.775,46.3,4.5125,31.4375,496.0,490.75,24.725,35.575,7.4625,32.25,17.475,46.1,5.6625,30.775,483.25,483.875,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARAVELÍ,26.40909090909091,34.445454545454545,7.027272727272727,32.14545454545454,21.118181818181817,44.64545454545455,8.945454545454545,25.318181818181817,479.9090909090909,470.3636363636364,19.53076923076923,38.01538461538461,4.776923076923077,37.67692307692308,15.453846153846154,42.69230769230769,3.692307692307693,38.15384615384615,498.1538461538461,500.61538461538464,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASTILLA,21.07,29.7,6.7700000000000005,42.48,15.14,44.03,7.890000000000001,32.980000000000004,507.6,496.1,29.78,30.78,4.32,35.15,16.41,38.02,10.59,34.989999999999995,489.3,485.5,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAYLLOMA,26.188888888888886,31.15,6.111111111111111,36.53888888888889,14.683333333333334,45.45,5.305555555555555,34.56111111111111,492.77777777777777,499.1666666666667,24.13157894736842,30.789473684210527,6.857894736842105,38.22105263157895,14.86315789473684,42.26842105263158,2.4526315789473685,40.41052631578947,493.6842105263158,503.4736842105263,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONDESUYOS,24.380000000000003,33.239999999999995,9.5,32.86,24.660000000000004,42.78,8.4,24.18,483.2,469.2,21.883333333333336,32.61666666666667,6.583333333333333,38.9,13.516666666666667,38.46666666666667,2.766666666666667,45.25,495.0,521.1666666666666,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISLAY,20.366666666666667,32.43333333333333,1.2666666666666666,45.91666666666666,14.366666666666667,38.56666666666667,1.95,45.15,517.6666666666666,518.5,17.033333333333335,35.666666666666664,2.733333333333333,44.583333333333336,10.6,38.03333333333333,2.15,49.23333333333333,511.5,526.5,862133.0,949813.0,289112.0,302127.0,967344.0,1112326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
