"Resultados a nivel de distrito, de la Evaluación Censal de Estudiantes 2018 - Cuarto de primaria",,,,,,,
,,,,,,,
Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Comprensión Lectora,Medida Promedio en Matemática
021511,ÁNCASH,PALLASCA,TAUCA,"100,0","100,0",475,480
021601,ÁNCASH,POMABAMBA,POMABAMBA,"100,0","98,2",446,440
021602,ÁNCASH,POMABAMBA,HUAYLLAN,"100,0","90,9",401,398
021603,ÁNCASH,POMABAMBA,PAROBAMBA,"100,0","100,0",385,397
021604,ÁNCASH,POMABAMBA,QUINUABAMBA,"100,0","100,0",257,295
021701,ÁNCASH,RECUAY,RECUAY,"100,0","100,0",478,473
021702,ÁNCASH,RECUAY,CATAC,"100,0","100,0",497,499
021703,ÁNCASH,RECUAY,COTAPARACO,"100,0","92,3",469,429
021705,ÁNCASH,RECUAY,LLACLLIN,"100,0","100,0",436,408
021706,ÁNCASH,RECUAY,MARCA,"100,0","91,7",421,404
021707,ÁNCASH,RECUAY,PAMPAS CHICO,"100,0","100,0",470,477
021708,ÁNCASH,RECUAY,PARARIN,"100,0","100,0",480,495
021709,ÁNCASH,RECUAY,TAPACOCHA,"100,0","100,0",358,368
021710,ÁNCASH,RECUAY,TICAPAMPA,"100,0","100,0",511,528
021801,ÁNCASH,SANTA,CHIMBOTE,"100,0","95,7",485,480
021802,ÁNCASH,SANTA,CACERES DEL PERU,"100,0","100,0",441,411
021803,ÁNCASH,SANTA,COISHCO,"100,0","97,1",456,458
021804,ÁNCASH,SANTA,MACATE,"100,0","100,0",404,387
021805,ÁNCASH,SANTA,MORO,"100,0","99,0",446,435
021806,ÁNCASH,SANTA,NEPEÑA,"100,0","98,6",469,483
021807,ÁNCASH,SANTA,SAMANCO,"100,0","100,0",475,476
021808,ÁNCASH,SANTA,SANTA,"100,0","98,7",463,465
021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,"100,0","97,6",497,488
021901,ÁNCASH,SIHUAS,SIHUAS,"100,0","99,2",481,490
021902,ÁNCASH,SIHUAS,ACOBAMBA,"100,0","98,0",401,399
021903,ÁNCASH,SIHUAS,ALFONSO UGARTE,"100,0","100,0",515,463
021904,ÁNCASH,SIHUAS,CASHAPAMPA,"100,0","100,0",432,446
021905,ÁNCASH,SIHUAS,CHINGALPO,"100,0","100,0",375,368
021906,ÁNCASH,SIHUAS,HUAYLLABAMBA,"100,0","100,0",405,402
021907,ÁNCASH,SIHUAS,QUICHES,"100,0","98,2",411,401
021908,ÁNCASH,SIHUAS,RAGASH,"100,0","100,0",404,402
021909,ÁNCASH,SIHUAS,SAN JUAN,"100,0","96,1",387,373
022001,ÁNCASH,YUNGAY,YUNGAY,"100,0","98,0",456,459
022002,ÁNCASH,YUNGAY,CASCAPARA,"100,0","100,0",336,373
022003,ÁNCASH,YUNGAY,MANCOS,"100,0","94,9",414,438
022004,ÁNCASH,YUNGAY,MATACOTO,"100,0","100,0",501,498
022005,ÁNCASH,YUNGAY,QUILLO,"100,0","98,8",366,373
022006,ÁNCASH,YUNGAY,RANRAHIRCA,"100,0","100,0",426,436
022007,ÁNCASH,YUNGAY,SHUPLUY,"100,0","100,0",318,337
022008,ÁNCASH,YUNGAY,YANAMA,"100,0","95,9",421,424
030101,APURÍMAC,ABANCAY,ABANCAY,"100,0","99,0",518,523
030102,APURÍMAC,ABANCAY,CHACOCHE,"100,0","100,0",435,454
030103,APURÍMAC,ABANCAY,CIRCA,"100,0","100,0",447,463
030104,APURÍMAC,ABANCAY,CURAHUASI,"100,0","98,9",425,427
030105,APURÍMAC,ABANCAY,HUANIPACA,"100,0","100,0",496,542
030106,APURÍMAC,ABANCAY,LAMBRAMA,"100,0","100,0",403,415
030107,APURÍMAC,ABANCAY,PICHIRHUA,"100,0","100,0",407,394
030108,APURÍMAC,ABANCAY,SAN PEDRO DE CACHORA,"100,0","96,4",414,419
030109,APURÍMAC,ABANCAY,TAMBURCO,"100,0","100,0",482,501
030201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,"100,0","99,1",490,500
030202,APURÍMAC,ANDAHUAYLAS,ANDARAPA,"100,0","100,0",419,431
030203,APURÍMAC,ANDAHUAYLAS,CHIARA,"100,0","100,0",333,385
030204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,"100,0","98,2",441,476
030205,APURÍMAC,ANDAHUAYLAS,HUANCARAY,"100,0","100,0",423,431
030206,APURÍMAC,ANDAHUAYLAS,HUAYANA,"100,0","100,0",327,350
030207,APURÍMAC,ANDAHUAYLAS,KISHUARA,"100,0","100,0",393,383
030208,APURÍMAC,ANDAHUAYLAS,PACOBAMBA,"100,0","100,0",434,375
030209,APURÍMAC,ANDAHUAYLAS,PACUCHA,"100,0","98,8",465,473
030210,APURÍMAC,ANDAHUAYLAS,PAMPACHIRI,"100,0","100,0",377,384
030211,APURÍMAC,ANDAHUAYLAS,POMACOCHA,"100,0","100,0",419,424
030212,APURÍMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,"100,0","100,0",386,353
030213,APURÍMAC,ANDAHUAYLAS,SAN JERONIMO,"100,0","97,8",475,494
030214,APURÍMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,"100,0","100,0",405,388
030215,APURÍMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,"100,0","98,1",412,422
030216,APURÍMAC,ANDAHUAYLAS,TALAVERA,"100,0","98,8",471,483
030218,APURÍMAC,ANDAHUAYLAS,TURPO,"100,0","96,7",398,412
030219,APURÍMAC,ANDAHUAYLAS,KAQUIABAMBA,"100,0","100,0",429,461
030220,APURÍMAC,ANDAHUAYLAS,JOSE MARIA ARGUEDAS,"100,0","100,0",415,452
030301,APURÍMAC,ANTABAMBA,ANTABAMBA,"100,0","97,4",474,466
